GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC03_EST_VC34,HC03_MOE_VC34,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC03_EST_VC39,HC03_MOE_VC39
0400000US12,12,Florida,1635367,1759,847925,1371,787442,1041,19.1,0.3,22.4,0.4,15.5,0.4,33.9,0.3,35.8,0.4,31.9,0.4,39.2,0.3,35.6,0.5,43.1,0.5,7.7,0.2,6.2,0.3,9.4,0.3,12532280,1851,6027946,1795,6504334,992,5.7,0.1,6.0,0.1,5.5,0.1,9.4,0.1,10.1,0.1,8.8,0.1,30.5,0.2,29.5,0.2,31.4,0.2,20.4,0.1,19.8,0.1,20.9,0.1,8.4,0.1,7.7,0.1,9.2,0.1,16.6,0.1,17.1,0.1,16.2,0.1,9.0,0.1,9.9,0.1,8.1,0.1,84.9,0.1,83.9,0.1,85.7,0.1,25.6,0.1,27.0,0.2,24.3,0.2,31375,95,36048,165,26867,94,56563,411,70766,752,47035,430
0400000US13,13,Georgia,952166,2812,494176,1664,457990,2188,21.5,0.4,25.1,0.6,17.7,0.5,33.6,0.5,35.7,0.7,31.3,0.6,37.3,0.5,33.3,0.8,41.6,0.7,7.6,0.2,5.9,0.3,9.5,0.3,6031157,2901,2884233,2717,3146924,1648,6.2,0.1,6.9,0.1,5.6,0.1,10.8,0.1,11.4,0.1,10.4,0.1,29.7,0.2,29.7,0.2,29.7,0.2,19.7,0.1,18.9,0.2,20.5,0.2,6.4,0.1,5.7,0.1,7.1,0.1,17.5,0.1,17.8,0.2,17.3,0.2,9.6,0.1,9.7,0.1,9.5,0.1,82.9,0.1,81.8,0.2,84.0,0.2,27.1,0.2,27.5,0.2,26.8,0.2,33148,128,39154,169,27810,128,60103,457,76254,919,52445,373
0400000US15,15,Hawaii,125426,795,70054,703,55372,363,8.8,0.7,10.1,0.9,7.2,0.8,41.8,1.6,46.8,2.5,35.4,1.7,41.6,1.3,37.3,2.2,47.1,1.7,7.8,0.6,5.8,0.7,10.3,1.0,865527,827,427384,794,438143,378,5.0,0.2,4.0,0.2,5.9,0.2,5.6,0.2,5.6,0.3,5.5,0.2,29.3,0.4,30.3,0.5,28.2,0.5,21.2,0.3,21.7,0.5,20.8,0.4,9.8,0.2,9.5,0.4,10.1,0.3,19.5,0.3,18.9,0.4,20.1,0.4,9.7,0.2,10.0,0.3,9.4,0.3,89.5,0.2,90.4,0.3,88.6,0.3,29.2,0.4,28.9,0.5,29.4,0.5,35834,334,41588,395,30443,289,58448,1382,72266,2529,49945,1046
0400000US16,16,Idaho,159304,633,82736,496,76568,407,16.3,0.6,18.8,0.8,13.6,0.9,35.4,1.0,38.5,1.4,32.0,1.2,42.8,1.0,39.2,1.4,46.7,1.4,5.5,0.5,3.5,0.5,7.7,0.8,926767,741,458239,598,468528,563,4.5,0.2,5.1,0.2,4.0,0.2,7.8,0.2,7.8,0.2,7.7,0.3,29.3,0.3,28.8,0.4,29.7,0.4,26.3,0.3,25.1,0.4,27.6,0.5,8.4,0.2,8.0,0.3,8.7,0.2,16.4,0.3,16.4,0.4,16.3,0.4,7.4,0.2,8.8,0.2,6.0,0.2,87.7,0.3,87.1,0.3,88.3,0.3,23.7,0.3,25.2,0.4,22.3,0.4,29299,237,36040,379,21903,247,54969,1081,65649,1995,44718,1395
0400000US17,17,Illinois,1282601,1490,658370,863,624231,1122,15.7,0.2,18.0,0.3,13.3,0.3,30.0,0.4,32.2,0.5,27.8,0.5,42.9,0.4,40.5,0.5,45.5,0.6,11.3,0.2,9.3,0.3,13.4,0.3,8309322,1591,4000125,1111,4309197,1186,6.3,0.1,6.5,0.1,6.2,0.1,8.0,0.1,8.3,0.1,7.7,0.1,28.1,0.1,28.1,0.2,28.1,0.2,20.6,0.1,20.1,0.1,21.1,0.2,7.2,0.1,6.5,0.1,7.9,0.1,18.6,0.1,18.7,0.1,18.4,0.1,11.2,0.1,11.8,0.1,10.7,0.1,85.7,0.1,85.2,0.1,86.2,0.1,29.8,0.2,30.5,0.2,29.1,0.2,36603,131,44197,172,29379,136,64411,474,80306,649,52969,427
0400000US18,18,Indiana,637155,1107,325444,698,311711,746,19.2,0.4,21.2,0.5,17.2,0.5,31.4,0.5,33.5,0.6,29.3,0.7,41.3,0.5,38.7,0.7,44.0,0.7,8.0,0.3,6.6,0.3,9.5,0.4,4118786,1055,1983995,950,2134791,916,4.4,0.1,4.8,0.1,4.1,0.1,9.8,0.1,9.9,0.1,9.8,0.1,36.5,0.2,36.5,0.2,36.6,0.2,20.1,0.1,19.6,0.2,20.5,0.2,7.2,0.1,6.6,0.1,7.8,0.1,14.0,0.1,14.5,0.2,13.6,0.2,7.9,0.1,8.2,0.1,7.7,0.1,85.7,0.1,85.3,0.2,86.1,0.2,21.9,0.2,22.6,0.2,21.3,0.2,32224,121,39984,209,25455,116,57098,428,68896,1039,49401,582
0400000US19,19,Iowa,320716,748,163957,548,156759,553,11.7,0.4,13.2,0.5,10.1,0.6,27.1,0.6,30.2,0.8,24.0,0.8,50.8,0.7,47.8,1.0,54.0,1.0,10.3,0.4,8.7,0.5,12.0,0.5,1948253,880,940665,831,1007588,698,4.1,0.1,4.4,0.1,3.8,0.1,6.3,0.1,6.7,0.2,5.9,0.1,34.9,0.2,36.0,0.3,33.8,0.3,21.1,0.2,20.1,0.3,22.1,0.2,9.5,0.1,8.5,0.2,10.3,0.2,16.8,0.2,16.2,0.2,17.3,0.2,7.4,0.1,8.1,0.2,6.7,0.2,89.6,0.1,88.9,0.2,90.3,0.1,24.2,0.2,24.3,0.3,24.0,0.2,31901,139,38614,226,25525,153,54166,575,66006,1523,46712,707
0400000US20,20,Kansas,303959,1234,157725,751,146234,816,13.7,0.5,15.5,0.6,11.8,0.6,28.8,0.6,31.0,0.8,26.4,0.9,48.0,0.8,46.0,1.1,50.1,1.1,9.5,0.5,7.5,0.6,11.7,0.6,1775427,1489,861348,923,914079,963,4.2,0.1,4.6,0.1,3.8,0.1,6.8,0.1,6.9,0.2,6.7,0.2,29.5,0.2,29.8,0.3,29.2,0.3,23.5,0.2,22.6,0.3,24.4,0.3,7.2,0.1,6.4,0.2,7.9,0.2,19.0,0.2,19.4,0.3,18.6,0.2,9.8,0.2,10.3,0.2,9.4,0.2,89.0,0.2,88.6,0.2,89.5,0.2,28.8,0.3,29.7,0.4,28.0,0.3,32422,191,39624,280,25870,215,53667,541,67790,1325,45412,627
0400000US21,21,Kentucky,415946,1274,214731,974,201215,830,17.3,0.6,19.6,0.7,14.9,0.7,33.5,0.6,36.6,0.9,30.2,0.9,41.8,0.7,38.3,1.0,45.7,0.9,7.3,0.4,5.6,0.5,9.2,0.5,2825618,1577,1351481,1236,1474137,1090,8.5,0.1,9.1,0.2,8.0,0.1,11.2,0.2,12.0,0.2,10.5,0.2,34.5,0.2,35.3,0.3,33.9,0.3,19.2,0.2,18.4,0.2,20.0,0.3,6.5,0.1,5.3,0.1,7.6,0.2,11.9,0.1,12.2,0.2,11.6,0.2,8.1,0.1,7.8,0.2,8.4,0.1,80.3,0.2,78.9,0.3,81.6,0.2,20.0,0.2,20.0,0.2,20.0,0.2,30240,157,36404,255,24527,215,50781,468,63186,1447,45298,587
0400000US22,22,Louisiana,482389,1527,245058,1167,237331,917,21.3,0.5,24.8,0.7,17.7,0.7,32.8,0.5,34.8,0.7,30.7,0.8,39.5,0.7,35.6,0.9,43.6,1.1,6.4,0.3,4.9,0.3,7.9,0.5,2814791,1560,1329655,1338,1485136,1079,7.1,0.1,7.7,0.1,6.5,0.1,12.4,0.2,13.2,0.2,11.7,0.2,34.9,0.2,34.9,0.3,34.9,0.3,20.3,0.2,20.2,0.2,20.5,0.2,4.6,0.1,3.8,0.1,5.4,0.1,13.8,0.1,13.3,0.2,14.2,0.2,6.8,0.1,6.9,0.1,6.8,0.1,80.5,0.2,79.1,0.2,81.8,0.2,20.6,0.2,20.2,0.2,21.0,0.2,30936,175,39790,260,23331,219,53313,657,72506,1522,45133,609
0400000US23,23,Maine,118355,423,60888,295,57467,255,14.5,0.7,16.5,1.0,12.5,0.9,35.5,1.0,38.5,1.4,32.3,1.2,42.2,1.1,38.3,1.4,46.4,1.4,7.7,0.5,6.7,0.7,8.8,0.7,918299,437,438388,351,479911,357,4.0,0.1,4.3,0.2,3.7,0.2,6.7,0.2,7.5,0.2,5.9,0.2,35.5,0.3,36.2,0.4,34.9,0.4,18.8,0.3,18.5,0.4,19.1,0.3,8.9,0.2,8.0,0.3,9.7,0.2,17.1,0.3,16.4,0.3,17.8,0.4,9.0,0.2,9.2,0.2,8.9,0.2,89.4,0.2,88.2,0.3,90.4,0.2,26.1,0.3,25.6,0.4,26.7,0.4,30668,200,36923,307,24901,313,50514,739,61872,2162,43384,951
